ID,CaseTitle,InitiationYear,ResolutionYear,RespondentState,ClaimantCountry,ClaimantName,PAULSSON,ArbitrationRules,LegalInstrument,OutcomeStatus,amountSought,amountSought_original,amountAwarded,amountAwarded_original,Arbitrator1,Arbitrator1President,Arbitrator2,Arbitrator2Claimant,Arbitrator3,Arbitrator3Respondent,description,italaw
UNC326,Mohammad Ammar Al-Bahloul v. The Tajikistan (SCC Case No. V 064/2008),2008,2010,Tajikistan,Austria,Mohammad Ammar Al-Bahloul,Hydrocarbon concession,SCC,Energy Charter Treaty,Neither the investor nor the State (liability found but no damages awarded),274887019.7,250000000,nihil,nihil,Jeffrey Hertzfeld,yes,Richard Happ,yes,Ivan Zykin,yes,Hydrocarbon exploration licences,http://www.italaw.com/cases/65
UNC602,Louis Dreyfus Armateurs SAS v. The India,2014,,India,France,Louis Dreyfus Armateurs SAS,port operation,UNCITRAL,France-India BIT,Pending,,,Not applicable,,Jean Kalicki,yes,Julian Lew,yes,J. Christopher THOMAS,yes,,
UNC436,Valeri Belokon v. Kyrgyz Republic,2011,,Kyrgyzstan,Latvia,Valeri Belokon,banking,UNCITRAL,Kyrgyzstan-Latvia BIT,In favour of the investor,,,15807728.85,15020000,Jan PAULSSON,yes,Kaj Hober,,Niels Schiersing,,,
UNC018,"Robert Azinian, Kenneth Davitian, & Ellen Baca v. The United Mexican States (ICSID Case No. ARB (AF)/97/2)",1997,1999,Mexico,USA,"Robert Azinian, Kenneth Davitian, & Ellen Baca",waste enterprise,ICSID AF,NAFTA,In favour of the State,,,Not applicable,,Jan PAULSSON,,Benjamin R. CIVILETTI,,Claus VON WOBESER,,,
UNC056,Generation Ukraine v. Ukraine (ICSID Case No. ARB/00/9),2000,2003,Ukraine,USA,Generation Ukraine,Construction of an office building,ICSID,Ukraine-United States BIT,In favour of the State,,,Not applicable,,Jan PAULSSON,yes,Eugen SALPIUS,yes,Jürgen VOSS,yes,"Generation Ukraine, Inc., complained that it was blocked by local administrative authorities from developing a Kiev office project.",
UNC268,Pantechniki S.A. Contractors & Engineers v. Albania (ICSID Case No. ARB/07/21),2007,2009,Albania,Greece,Pantechniki S.A. Contractors & Engineers,Construction contracts,ICSID,Albania-Greece BIT,In favour of the State,,,Not applicable,,Jan PAULSSON,yes,Jan PAULSSON,sole arbitrato,NA,,,
UNC312,Participaciones Inversiones Portuarias SARL v. Gabonese Republic (ICSID Case No. ARB/08/17),2008,2011,Gabon,Luxembourg,Participaciones Inversiones Portuarias SARL,Concession regarding two ports,ICSID,Belgium/Luxembourg-Gabon BIT,Discontinued (for unknown reasons or reasons other than settlement),,,,,Jan PAULSSON,yes,Ibrahim FADLALLAH,yes,Brigitte STERN,yes,,
UNC351,Adem Dogan v. Turkmenistan (ICSID Case No. ARB/09/9),2009,2014,Turkmenistan,Germany,Adem Dogan,Poultry farm,ICSID,Germany-Turkmenistan BIT,In favour of the investor,,,unknown,,Jan PAULSSON,yes,Philippe SANDS,yes,Markus WIRTH,yes,,
UNC581,Tariq Bashir and SA Interpétrol Burundi v. Burundi (ICSID Case No. ARB/14/31),2014,,Burundi,Belgium,Tariq Bashir and SA Interpétrol Burundi,Petroleum products supply,ICSID,Belgium/Luxembourg-Burundi BIT,Pending,,,Not applicable,,Jan PAULSSON,yes,Hamid G. GHARAVI,yes,Anna Joubin-Bret,yes,,
UNC026,"Waste Management, Inc. v. United Mexican States (ICSID Case No. ARB(AF)/98/2) (I)",1998,2004,Mexico,USA,"Waste Management, Inc.",Waste disposal enterprise,ICSID,NAFTA,In favour of the State,,,Not applicable,,James R. CRAWFORD,yes,Eduardo MAGALLÓN GÓMEZ,yes,Benjamin R. CIVILETTI,yes,,
UNC577,"Blusun S.A., Jean-Pierre Lecorcier and Michael Stein v. Italian Republic (ICSID Case No. ARB/14/3)",2014,,Italy,Belgium/France/Germany,"Blusun S.A., Jean-Pierre Lecorcier and Michael Stein",Renewable energy generation enterprise,ICSID,Energy Charter Treaty,Pending,unknown,,Not applicable,,James R. CRAWFORD,yes,Stanimir A. ALEXANDROV,yes,Pierre-Marie DUPUY,yes,Photovoltaic energy project,
UNC098,EnCana Corporation v. Ecuador (LCIA Case No. UN3481),2003,2006,Ecuador,Canada,EnCana Corporation,oil,UNCITRAL,Canada-Ecuador BIT,In favour of the State,unknown,,Not applicable,,James Crawford,yes,Horacio Grigera Naón,yes,J. Christopher THOMAS,yes,,http://www.italaw.com/cases/393
UNC188,Asset Recovery Trust S.A. v. Argentine Republic (ICSID Case No. ARB/05/11),2005,2012,Argentina,USA,Asset Recovery Trust S.A.,Collection contract,ICSID,Argentina-United States BIT,Discontinued (for unknown reasons or reasons other than settlement),,,,,Jaime C. IRARRÁZABAL,yes,Ernesto CANALES SANTOS,yes,Antonio A. CANÇADO TRINDADE,yes,,
UNC380,White Industries Australia Limited v. The India,2010,2011,India,Australia,White Industries Australia Limited,mining,UNCITRAL,Australia-India BIT,In favour of the investor,8804751.81,8110000,8535331.62,8110000,J. William ROWLEY,yes,Charles N. BROWER,yes,Christopher Lau,yes,,http://www.italaw.com/cases/1169
UNC183,Ares International S.r.l. and MetalGeo S.r.l. v. Georgia (ICSID Case No. ARB/05/23),2005,2008,Georgia,Italy,Ares International S.r.l. and MetalGeo S.r.l.,Steel industry project,ICSID,Georgia-Italy BIT,In favour of the investor,133338248.9,110000000,unknown,,J. William ROWLEY,yes,Emmanuel GAILLARD,yes,John BEECHEY,yes,"Results of steel privatization dispute remain under wraps. A pair of Italian investors sued Georgia for breach of the Italy–Georgia BIT. An ICSID tribunal issued a final award in February 2008, but few details have emerged.",
UNC388,Kılıç İnşaat İthalat İhracat Sanayi ve Ticaret Anonim Şirketi v. Turkmenistan (ICSID Case No. ARB/10/1),2010,2013,Turkmenistan,Turkey,Kılıç İnşaat İthalat İhracat Sanayi ve Ticaret Anonim Şirketi,Construction projects,ICSID,Turkey-Turkmenistan BIT,In favour of the State,298558168.5,275000000,Not applicable,,J. William ROWLEY,yes,William W. PARK,yes,Philippe SANDS,yes,,
UNC394,"Universal Compression International Holdings, S.L.U. v. Venezuela (ICSID Case No. ARB/10/9)",2010,,Venezuela,Spain,"Universal Compression International Holdings, S.L.U.",Oil and gas enterprise,ICSID,Spain-Venezuela BIT,Settled,1258286972,1159000000,unknown,,J. William ROWLEY,yes,Brigitte STERN,yes,Guido Santiago TAWIL,yes,"A subsidiary of Houston’s Exterran Holdings Inc. sued under the Spain-Venezuela investment treaty over Venezuela’s 2009 nationalization of its gas compression business. A month after the five-day trial held in July 2012, Venezuela settled for $442 million. Venezuela paid an additional $112 million to Exterran in March 2012, to settle the ICSID claim brought over the seizure of its WilPro joint ventures with The Williams Cos. Inc.",
UNC396,RSM Production Corporation and others v. Grenada (ICSID Case No. ARB/10/6),2010,2010,Grenada,USA,RSM Production Corporation and others,Oil exploration contract,ICSID,Grenada-US BIT,In favour of the State,542833033.7,500000000,Not applicable,,J. William ROWLEY,yes,Edward NOTTINGHAM,yes,Pierre TERCIER,yes,,
UNC399,"Guaracachi America, Inc. and Rurelec PLC v. The Plurinational State of Bolivia (PCA Case No. 2011-17)",2010,,Bolivia,United Kingdom/USA,"Guaracachi America, Inc. and Rurelec PLC",,UNCITRAL,Bolivia-United Kingdom BIT; Bolivia-United Sates BIT,In favour of the investor,151993249.4,140000000,39083978.43,36000000,J M Júdice,,Manuel Conthe,,Raul Vinuesa,,,
UNC624,R.S.E. Holdings AG v. Latvia,2014,,Latvia,Switzerland,R.S.E. Holdings AG,banking,,Switzerland-Latvia BIT,Pending,,,Not applicable,,Inka Hanefeld,yes,Franco FERRARI,yes,Anna Joubin-Bret,yes,,iareporter
UNC023,Compagnie Minière Internationale Or S.A. v. Peru (ICSID Case No. ARB/98/6),1998,2001,Peru,France,Compagnie Minière Internationale Or S.A.,"Oil, Gas & Mining",ICSID,France-Peru BIT,Settled,unknown,,unknown,,Ian BROWNLIE,yes,Henri C. ÁLVAREZ,yes,Keith HIGHET,yes,,
UNC494,Lao Holdings N.V. v. Lao People’s Democratic Republic (ICSID Case No. ARB(AF)/12/6),2012,,Lao PDR,Netherlands,Lao Holdings N.V.,Gaming industry,ICSID AF,Lao PDR-Netherlands BIT,Pending,1031107085,1000000000,Not applicable,,Ian BINNIE,yes,Bernard HANOTIAU,yes,Brigitte STERN,yes,,http://www.italaw.com/cases/2020
UNC575,Beijing Urban Construction Group Co. Ltd. v. Yemen (ICSID Case No. ARB/14/30),2014,,Yemen,China,Beijing Urban Construction Group Co. Ltd.,Construction of an airport terminal,ICSID,China-Yemen BIT,Pending,,,Not applicable,,Ian BINNIE,yes,John M. TOWNSEND,yes,Zachary DOUGLAS,yes,,
UNC187,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag v. The Kingdom of Thailand (formerly Walter Bau AG (in liquidation) v. The Kingdom of Thailand)",2005,2009,Thailand,Germany,"Werner Schneider, acting in his capacity as insolvency administrator of Walter Bau Ag v. The Kingdom of Thailand (formerly Walter Bau AG (in liquidation)",road construction project,UNCITRAL,Germany-Thailand BIT,In favour of the investor,144247741.9,119000000,32232475.33,29210000,Ian Barker,yes,Marc LALONDE,yes,Jayavadh Bunnag,yes,"Thailand’s first investment treaty arbitration. Walter Bau seeks compensation for loss suffered in connection with its stake in the company that was awarded the contract to build and operate the Don Muang Tollway in Bangkok. Following an unpublished jurisdictional ruling, the case is at an advanced stage of the merits.",http://www.italaw.com/cases/123
UNC464,"Isolux Corsán Concesiones S.A. v. Peru, ICSID Case No. ARB/12/5",2012,2014,Peru,Spain,Isolux Corsán Concesiones S.A.,Electricity transmission concession,ICSID,Peru-Spain BIT,Settled,154666062.7,150000000,unknown,,Hugo PEREZCANO DIAZ,yes,Alexis MOURRE,yes,Horacio A. GRIGERA NAÓN,yes,,
UNC045,Técnicas Medioambientales Tecmed v. United Mexican States (ICSID Case No. ARB(AF)/00/2),2000,2003,Mexico,Spain,Técnicas Medioambientales Tecmed,Waste disposal enterprise,ICSID AF,Mexico-Spain BIT,In favour of the investor,,,7120375.69,5533017,Horacio A. GRIGERA NAÓN,yes,José Carlos FERNÁNDEZ ROZAS,yes,Carlos BERNAL VEREA,yes,,
UNC472,"Fábrica de Vidrios Los Andes, C.A. and Owens-Illinois de Venezuela, C.A. v. Venezuela (ICSID Case No. ARB/12/21)",2012,,Venezuela,Netherlands,"Fábrica de Vidrios Los Andes, C.A. and Owens-Illinois de Venezuela, C.A.",Glass production enterprise,ICSID,Netherlands-Venezuela BIT,Pending,968209552.5,939000000,Not applicable,,Hi-Taek SHIN,yes,L. Yves FORTIER,yes,Zachary DOUGLAS,yes,,http://www.italaw.com/cases/1941
UNC161,"Motorola Credit Corporation, Inc. v. Turkey (ICSID Case No. ARB/04/21)",2004,2005,Turkey,USA,"Motorola Credit Corporation, Inc.",Cellular telecommunications network,ICSID,Turkey-United States BIT,Settled,2506469031,2000000000,Not applicable,,Henri C. ÁLVAREZ,yes,Jan PAULSSON,yes,Pierre MAYER,yes,"A BIT dispute arising out Motorola’s investment in a mobile phone system controlled by members of the Uzan family, now wanted for alleged fraud in Turkey. Turkey is seeking to recover Uzan assets on its own behalf. Motorola’s fraud claim against the Uzans personally resulted in a $4 billion verdict in New York federal court in July 2003.",Not found
UNC015,"Ceskoslovenska Obchodni Banka, a.s. v. The Slovak Republic (ICSID Case No. ARB/97/4)",1997,2004,Slovakia,Czech Republic,"Ceskoslovenska Obchodni Banka, a.s.",Debt instruments,ICSID,Czech Republic-Slovak Republic BIT,In favour of the investor,,,1002587612,800000000,Hans VAN HOUTTE,yes,Piero BERNARDINI,yes,Andreas BUCHER,yes,"Ceskolovenska Obchodni Banka (CSOB) - a commercial bank under Czech law - claimed Slovak Repubic breached their agreement on the basic principles of a financial consolidation of CSOB that had previously been agreed between the Ministry of finacnce of the Czech Republic, the Ministry of Finance of the Slovak Republic and CSOB. CSOB claimed for losses incurred as a result and also for damages.",http://www.worldbank.org/icsid/cases/csob_decision.pdf http://www.worldbank.org/icsid/cases/csob.pdfhttp://ita.law.uvic.ca/documents/Cesk-Slovakia-AwardDec2004.pdf
UNC265,Toto Costruzioni Generali S.p.A. v. Lebanon (ICSID Case No. ARB/07/12),2007,2012,Lebanon,Italy,Toto Costruzioni Generali S.p.A.,Highway construction contract,ICSID,Italy-Lebanon BIT,In favour of the State,,,Not applicable,,Hans VAN HOUTTE,yes,Stephen M. SCHWEBEL,yes,Fadi MOGHAIZEL,yes,,
UNC272,Mobil Investments Canada Inc. and Murphy Oil Corporation v. Government of Canada (ICSID Case No. ARB(AF)/07/4),2007,2015,Canada,USA,Mobil Investments Canada Inc. and Murphy Oil Corporation,Petroleum development projects,ICSID AF,NAFTA,In favour of the investor,,,unknown,,Hans VAN HOUTTE,yes,Merit JANOW,yes,Philippe SANDS,yes,,
UNC278,S&T Oil Equipment & Machinery Ltd. v. Romania (ICSID Case No. ARB/07/13),2007,2010,Romania,USA,S&T Oil Equipment & Machinery Ltd.,Ammonia production enterprise,ICSID,Romania-United States BIT,Discontinued (for unknown reasons or reasons other than settlement),208943137.4,183000000,,,Hans VAN HOUTTE,yes,Horacio A. GRIGERA NAÓN,yes,Brigitte STERN,yes,Dispute involved the privatization of an ammonia plant in Romania.,
UNC449,Nova Scotia Power Incorporated v. Venezuela (ICSID Case No. ARB(AF)/11/1) (II),2011,2014,Venezuela,Canada,Nova Scotia Power Incorporated,Coal supply agreement,ICSID AF,Canada-Venezuela BIT,In favour of the State,105244533,100000000,Not applicable,,Hans VAN HOUTTE,yes,Raúl E. VINUESA,yes,David A.R. WILLIAMS,yes,,
UNC481,Marco Gavazzi and Stefano Gavazzi v. Romania (ICSID Case No. ARB/12/25),2012,,Romania,Italy,Marco Gavazzi and Stefano Gavazzi,Steel production enterprise,ICSID,Italy-Romania BIT,Pending,,,Not applicable,,Hans VAN HOUTTE,yes,Mauro RUBINO-SAMMARTANO,yes,V.V. VEEDER,yes,,
UNC513,"Utsch M.O.V.E.R.S. International GmbH, Erich Utsch Aktiengesellschaft, and Mr. Helmut Jungbluth v. Arab Egypt (ICSID Case No. ARB/13/37)",2013,,Egypt,Germany,"Utsch M.O.V.E.R.S. International GmbH, Erich Utsch Aktiengesellschaft, and Mr. Helmut Jungbluth",License plate supply and manufacturing project,ICSID,Egypt-Germany BIT,Pending,,,Not applicable,,Hans VAN HOUTTE,yes,Arif Hyder ALI,yes,Mark A. CLODFELTER,yes,,
UNC525,Güneş Tekstil Konfeksiyon Sanayi ve Ticaret Limited Şirketi and others v. Uzbekistan (ICSID Case No. ARB/13/19),2013,,Uzbekistan,Turkey,Güneş Tekstil Konfeksiyon Sanayi ve Ticaret Limited Şirketi and others,Retail enterprise,ICSID,Turkey-Uzbekistan BIT,Pending,,,Not applicable,,Hans VAN HOUTTE,yes,Eric SCHWARTZ,yes,Teresa GIOVANNINI,yes,,
UNC605,Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft v. Argentine Republic (ICSID Case No. ARB/14/32),2014,,Argentina,Austria,Casinos Austria International GmbH and Casinos Austria Aktiengesellschaft,Gaming industry,ICSID,Argentina-Austria BIT,Pending,,,Not applicable,,Hans VAN HOUTTE,yes,Stephan SCHILL,yes,Santiago TORRES BERNÁRDEZ,yes,,
UNC276,Impregilo S.p.A. v. Argentine Republic (ICSID Case No. ARB/07/17) (I),2007,2011,Argentina,Italy,Impregilo S.p.A.,Water services concession,ICSID,Argentina-Italy BIT,In favour of the investor,135870127.6,119000000,29468469.23,28000000,Hans DANELIUS,yes,Charles N. BROWER,yes,Brigitte STERN,yes,The dispute involves the alleged breach of the Italy-Argentina bilateral investment treaty. Impregilo claims that Argentina has expropriated its share in a locally incorporated company engaged in the water-related public utility sector and violated other treaty standards through measures taken in connection with Argentina’s economic crisis.,
UNC128,Petrobart Ltd. v. The Kyrgyz Republic (SCC Case No. 126/2003),2003,2007,Kyrgyzstan,United Kingdom,Petrobart Ltd.,oil and gas,SCC,Energy Charter Treaty,In favour of the investor,unknown,,1255942.36,1100000,Hans DANELIUS,yes,Ove Bring,yes,Jeroen Smets,yes,Gas delivery contract,http://www.italaw.com/cases/825
UNC086,William Nagel v. The Czech Republic (SCC Case No. 049/2002),2002,2003,Czech Republic,United Kingdom,William Nagel,telecom,SCC,Czech Republic-United Kingdom BIT,In favour of the State,unknown,,Not applicable,,Hans DANELIUS,yes,J. Martin Hunter,yes,Herbert Kronke,yes,"After the authorities held a public tender for two mobile phone contracts, neither of which was awarded to Mr. Nagel, the U.K. businessman launched an arbitration against the Czech Government alleging that it had reneged upon a commitment to award him a GSM mobile phone licence. The claim was ultimately dismissed by the tribunal on the grounds that Mr. Nagel's earlier understanding with the Czech authorities did not qualify as an ""investment"" under the UK-Czech treaty. (http://www.ictregulationtoolkit.org/en/toolkit/notes/PracticeNote/2563)",http://www.italaw.com/cases/728
UNC179,TSA Spectrum de Argentina S.A. v. Argentine Republic (ICSID Case No. ARB/05/5),2005,2008,Argentina,Netherlands,TSA Spectrum de Argentina S.A.,Telecommunications concession,ICSID,Argentina-Netherlands BIT,In favour of the State,616992442.4,509000000,Not applicable,,Hans DANELIUS,yes,Georges ABI-SAAB,yes,Grant D. ALDONAS,yes,"Rare ICSID victory for Argentina. An arbitral tribunal declined to hear a claim filed by a local argentine firm. Arbitrators were willing to pierce the company’s corporate veil in order to acknowledge its Dutch owner. However, further scrutiny revealed that a local Argentine company was the ultimate owner, thus disqualifying the Argentine company from suing its own government at ICSID.",http://www.italaw.com/cases/1118
UNC195,Rupert Joseph Binder v. Czech Republic,2005,2011,Czech Republic,Germany,Rupert Joseph Binder,transport company,UNCITRAL,Czech Republic-Germany BIT,In favour of the State,135691062.9,111941000,Not applicable,,Hans DANELIUS,yes,Jurgen Creutzig,yes,Emmanuel GAILLARD,yes,"Mr. Binder turned to arbitration in 2005, alleging mistreatment of a transport services company that he operates in the Czech Republic.",http://www.italaw.com/cases/151
UNC297,Impregilo S.p.a v. Argentine Republic (ICSID Case No. ARB/08/14) (II),2008,2010,Argentina,Italy,Impregilo S.p.a,Highway construction concession,ICSID,Italy-Argentina BIT,Settled,219909615.8,200000000,unknown,,Hans DANELIUS,yes,Charles N. BROWER,yes,Kamal HOSSAIN,yes,"Highway dispute takes its toll on investor. Impregilo complains that various measures taken by Argentina have adversely impacted the Italian company’s investments in a road and highways system around the city of Cordoba in Argentina. The claim is brought under the Italy-Argentina bilateral investment treaty. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",
UNC315,Itera International Energy LLC and Itera Group NV v. Georgia (ICSID Case No. ARB/08/7),2008,,Georgia,Netherlands/USA,Itera International Energy LLC and Itera Group NV,Gas distribution enterprise,ICSID,Georgia-United States BIT; Georgia-Netherlands BIT,Discontinued (for unknown reasons or reasons other than settlement),51019030.85,46400000,Not applicable,,Hans DANELIUS,yes,Francisco ORREGO VICUÑA,yes,Brigitte STERN,yes,,http://www.italaw.com/cases/584
UNC115,Azurix Corp. v. Argentine Republic (ICSID Case No. ARB/03/30) (II),2003,2012,Argentina,USA,Azurix Corp.,Water and sewer services concession agreement,ICSID,Argentina-United States BIT,Discontinued (for unknown reasons or reasons other than settlement),772133072.4,600000000,,,Gustaf MÖLLER,yes,Bernard HANOTIAU,yes,Donald M. McRAE,yes,Another BIT dispute in the water sector arising out of the Argentine currency crisis.,
UNC139,Mobil Exploration and Development Inc. Suc. Argentina and Mobil Argentina S.A. v. Argentine Republic (ICSID Case No. ARB/04/16),2004,,Argentina,USA,Mobil Exploration and Development Inc. Suc. Argentina and Mobil Argentina S.A.,Gas production concessions,ICSID,Argentina-United States BIT,Pending,463696770.8,370000000,Not applicable,,Gustaf MÖLLER,yes,Piero BERNARDINI,yes,Antonio REMIRO BROTÓNS,yes,"Another Argentine financial crisis dispute. Claimants complain that emergency measures taken by Argentina have negatively affected investments in the oil and gas sector. Pleadings on the merits continue. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",
UNC108,BG Group Plc v. The Argentina,2003,2007,Argentina,United Kingdom,BG Group Plc,gas enterprise,UNCITRAL,Argentina-United Kingdom BIT,In favour of the investor,315287671.2,245000000,250046705.4,219000000,Guillermo Aguilar Alvarez,,Albert Jan VAN DEN BERG,yes,Alejandro M. Garro,yes,"In December 2007, arbitrators held that Argentina had breached the terms of the United Kingdom–Argentina bilateral investment treaty. BG had complained that its investments in MetroGas, an Argentine gas distributor, had been harmed by Argentina’s emergency response to an earlier financial crisis. The award is currently being challenged by Argentina in the USA courts. The Argentine government denies that the measures breached the treaty, and insists they were necessary due to the nature of the economic crisis.",http://www.italaw.com/cases/143
UNC463,Progas Energy Ltd v. Pakistan,2012,,Pakistan,Mauritius,Progas Energy Ltd,natural gas,UNCITRAL,Mauritius-Pakistan BIT,Pending,721774959.3,700000000,Not applicable,,Guillermo Aguilar Alvarez,yes,Emmanuel GAILLARD,yes,Ahmed Sadek EL-KOSHERI,yes,,http://www.italaw.com/cases/2044
UNC162,"Iurii Bogdanov, Agurdino-Invest Ltd and Agurdino-Chimia JSC v. Moldova (I)",2004,2005,Moldova,Russia,"Iurii Bogdanov, Agurdino-Invest Ltd and Agurdino-Chimia JSC",paint factory,SCC,Moldova-Russia BIT,In favour of the investor,,,60608.29,50000,Giuditta Cordero Moss,yes,NA,NA,NA,NA,,
UNC117,Continental Casualty Company v. Argentine Republic (ICSID Case No. ARB/03/9),2003,2008,Argentina,USA,Continental Casualty Company,Insurance company,ICSID,Argentina-United States BIT,In favour of the investor,,,3925386.64,3570000,Giorgio SACERDOTI,yes,V.V. VEEDER,yes,Michell NADER,yes,,
UNC127,Telefónica S.A. v. Argentine Republic (ICSID Case No. ARB/03/20),2003,2009,Argentina,Spain,Telefónica S.A.,Telecommunications enterprise,ICSID,Argentina-Spain BIT,Settled,3603287671,2800000000,unknown,,Giorgio SACERDOTI,yes,Charles N. BROWER,yes,Eduardo SIQUEIROS T,yes,A BIT dispute in the telecommunications sector arising out of the Argentine currency crisis.,
UNC155,Total S.A. v. Argentine Republic (ICSID Case No. ARB/04/1),2004,2013,Argentina,France,Total S.A.,Gas production and distribution/power generation project,ICSID,Argentina-France BIT,In favour of the investor,1619178994,1292000000,unknown,,Giorgio SACERDOTI,yes,Henri C. ÁLVAREZ,yes,Luis HERRERA MARCANO,yes,"In the largest non-bond claim to arise out of the Argentine financial crisis, Total claims losses under the France-Argentina BIT related to its investments in oil exploration and production, gas transportation, and electricity generation. In December 2010 an award on liability upheld a number of Total's claims. The damages phase is ongoing.",
UNC254,Venezuela Holdings B.V. and others v. Venezuela (ICSID Case No. ARB/07/27),2007,2014,Venezuela,Bahamas/USA/Netherlands,Venezuela Holdings B.V. and others,Oil and gas enterprise,ICSID,Netherlands-Venezuela BIT,In favour of the investor,16759979859,14679000000,2066580000,2066580000,Gilbert GUILLAUME,yes,Ahmed Sadek EL-KOSHERI,yes,Gabrielle KAUFMANN-KOHLER,yes,"Claims alleging expropriation and violation of fair and equitable treatment under the Venezuela–Netherlands BIT with respect to two joint venture projects in Venezuela’s heavy crude sector, resulting from governmental fiscal measures and restructuring of the petroleum industry. In June 2010 the tribunal asserted jurisdiction under the Dutch treaty, but accepted Venezuela’s argument that its domestic investment law does not contain a consent to ICSID jurisdiction. This led to a dismissal of all claims relating to measures that occurred before Mobil established a Dutch holding company in 2006, resulting in a reduction of potential damages. Hearings on the merits are scheduled for February 2012. A parallel contract arbitration has been filed against Venezuela’s state oil company.",http://www.italaw.com/cases/713
UNC217,Bernardus Henricus Funnekotter and others v. Zimbabwe (ICSID Case No. ARB/05/6),2005,2009,Zimbabwe,Netherlands,Bernardus Henricus Funnekotter and others,Commercial farms,ICSID,Netherlands-Zimbabwe BIT,In favour of the investor,18909788.02,15600000,27586849.82,25000000,Gilbert GUILLAUME,yes,Ronald A. CASS,yes,Mohammad WASI ZAFAR,yes,,http://italaw.com/cases/467
UNC005,Antoine Goetz and others v. Burundi (ICSID Case No. ARB/95/3) (I),1995,2012,Burundi,Belgium,Antoine Goetz and others,"Mining, banking and service enterprises",ICSID,Belgium and Luxembourg-Burundi BIT,Settled,,,3083010.18,2990000,Gilbert GUILLAUME,yes,Jean-Denis BREDIN,yes,Ahmed Sadek EL-KOSHERI,yes,,
UNC361,"Swisslion DOO Skopje v. Macedonia, former Yugoslav (ICSID Case No. ARB/09/16)",2009,2012,Macedonia,Switzerland,Swisslion DOO Skopje,Food products company,ICSID,Macedonia-Swiss BIT,In favour of the investor,110347399.3,100000000,505242.47,490000,Gilbert GUILLAUME,yes,Daniel M. PRICE,yes,J. Christopher THOMAS,yes,,
UNC096,Salini Costruttori S.p.A. and Italstrade S.p.A. v. Hashemite Kingdom of Jordan (ICSID Case No. ARB/02/13),2002,2006,Jordan,Italy,Salini Costruttori S.p.A. and Italstrade S.p.A.,Dam construction project,ICSID,Italy-Jordan BIT,In favour of the State,,,Not applicable,,Gilbert GUILLAUME,yes,Bernardo M. CREMADES,yes,Ian SINCLAIR,yes,,
UNC113,Impregilo S.p.A. v. Islamic Pakistan (ICSID Case No. ARB/03/3) (II),2003,2005,Pakistan,Italy,Impregilo S.p.A.,Hydropower project,ICSID,Italy-Pakistan BIT,Settled,579099804.3,450000000,unknown,,Gilbert GUILLAUME,yes,Bernardo M. CREMADES,yes,Toby LANDAU,yes,"The Italian engineering firm Impregilo won a bid in 1995 to build a series of canals, bridges, and dams in Pakistan as part of a big hydroelectric project. Alleging that the Pakistani water authority missed the contract’s key deadlines and requirements, Impregilo has filed a claim for expropriation under the Italian-Pakistani BIT.",
UNC290,CEMEX Caracas Investments B.V. and CEMEX Caracas II Investments B.V. v. Venezuela (ICSID Case No. ARB/08/15),2008,2012,Venezuela,Netherlands,CEMEX Caracas Investments B.V. and CEMEX Caracas II Investments B.V.,Cement production enterprise,ICSID,Netherlands-Venezuela BIT,Settled,1319457695,1200000000,unknown,,Gilbert GUILLAUME,yes,Georges ABI-SAAB,yes,Robert VON MEHREN,yes,"Mexico’s CEMEX, through its Dutch subsidiaries, claimed losses arising out of Venezuela's 2008 nationalization of that country's largest cement business. In December 2010 arbitrators confirmed that Venezuela's withdrawal from Netherlands-Venezuela BIT came too late to short-circuit the claims. However, arbitrators declined jurisdiction over claims brought under Venezuela's ambiguously-worded investment law.In December 2011 -- only weeks after CEMEX had filed its final merits brief, and two months before trial -- Venezuela settled the case for $600 million.",http://www.italaw.com/cases/232
UNC548,Joseph Houben v. Burundi (ICSID Case No. ARB/13/7),2013,,Burundi,Belgium,Joseph Houben,Real estate project,ICSID,Belgium/Luxembourg-Burundi BIT (1989),Pending,,,Not applicable,,Gilbert GUILLAUME,yes,Yas BANIFATEMI,yes,Brigitte STERN,yes,,
UNC037,Philippe Gruslin v. Malaysia (ICSID Case No. ARB/99/3) (II),1999,2000,Malaysia,Belgium,Philippe Gruslin,Company shareholding,ICSID,Belgium and Luxembourg-Malaysia BIT,In favour of the State,,,Not applicable,,Gavan GRIFFITH,yes,Gavan GRIFFITH,sole arbitrator,NA,,,http://www.italaw.com/cases/515
UNC304,"Bosh International, Inc. and B&P, LTD Foreign Investments Enterprise v. Ukraine (ICSID Case No. ARB/08/11)",2008,2012,Ukraine,USA,"Bosh International, Inc. and B&P, LTD Foreign Investments Enterprise",tourism,ICSID,United States-Ukraine BIT,In favour of the State,unknown,,Not applicable,,Gavan GRIFFITH,yes,Philippe SANDS,yes,Donald McRae,yes,,http://www.italaw.com/cases/1563
