ID,Case Title,Case Number,InvestmentType,Date Registered,Arbitrator1,Arbitrator1President,President Nationality,Arbitrator2,Arbitrator2Claimant,Arbitrators 1 Nationality,Arbitrator3,Arbitrator3Respondent,Arbitrator 2 Nationality,Claimant Representative,Respondent Representative,Outcome Of Proceeding,ResolutionYear
UNC099,Bayindir Insaat Turizm Ticaret Ve Sanayi A.S. v. Islamic Republic of Pakistan,ARB/03/29,Highway construction contract,2003-12-01,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Franklin BERMAN,YES,British,Karl-Heinz BÖCKSTIEGEL,YES,German,"Samdani & Qureshi, Islamabad, Pakistan Sidley Austin, Washington, D.C., U.S.A. Stephen M. Schwebel, Washington, D.C., U.S.A.","Attorney General for Pakistan, Islamabad, Pakistan Samuel Wordsworth, London, U.K. Eversheds, Paris, France","Award rendered on August 27, 2009.",2009
,Ghaith R. Pharaon v. Republic of Tunisia,ARB/86/1,Tourism and holiday resort projects,1986-09-24,Claude REYMOND,YES,Swiss,Giorgio BERNINI,YES,Italian,Karl-Heinz BÖCKSTIEGEL,YES,German,"Coudert Brothers, Paris, France","Chef du Contentieux de l'Etat, Ministere du Plan et des Finances, Tunis, Tunisia","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on November 21, 1988 pursuant to Arbitration Rule 43 (1)).",1988
UNC002,"American Manufacturing & Trading, Inc. v. Democratic Republic of the Congo",ARB/93/1,Manufacturing and trading enterprise,1993-02-02,Sompong SUCHARITKUL,YES,Thai,Heribert GOLSONG,YES,German,Kéba MBAYE,YES,Senegalese,"Dinur & Associates, Atlanta, GA, U.S.A.",Manzila Lundum Sal Ramazani Baya,"Award rendered on February 21, 1997.",1997
UNC023,Compagnie Minière Internationale Or S.A. v. Republic of Peru,ARB/98/6,Gold mining project,1998-10-28,Ian BROWNLIE,YES,British,Henri C. ÁLVAREZ,YES,Canadian,Keith HIGHET,YES,U.S.,"Freshfields Bruckhaus Deringer, Paris, France","Ministerio de Relaciones Exteriores, Lima, Peru Baker and Hostetler, Washington, D.C., U.S.A.","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance of the proceeding issued by the Secretary-General on February 23, 2001, pursuant to Arbitration Rule 43(1)).",2001
UNC031,Alimenta S.A. v. Republic of The Gambia,ARB/99/5,Groundnut enterprise,1999-07-12,Charles N. BROWER,YES,U.S.,Samuel K.B. ASANTE,YES,Ghanaian,Kenneth S. ROKISON,YES,British,"Lalive & Partners, Geneva, Switzerland","Attorney General & Secretary of State for Justice, Banjul, The Gambia Solicitor General and Legal Secretary, Department of State for Justice, Banjul, The Gambia","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of discontinuance of the proceeding issued by the Arbitral Tribunal on May 3, 2001, pursuant to Arbitration Rule 43(1)).",2001
UNC383,AES Corporation and Tau Power B.V. v. Republic of Kazakhstan,ARB/10/16,Power facilities and trading companies,2010-07-20,Pierre TERCIER,YES,Swiss,Vaughan LOWE,YES,British,Klaus SACHS,YES,German,"Allen & Overy, London, U.K.","Reed Smith, London, U.K. Ministry of Justice of Kazakhstan, Prime Minister of Kazakhstan and Minister of Finance of Kazakhstan, Astana, Kazakhstan Joe Smouha, London, U.K.","Award rendered on November 1, 2013.",2013
UNC146,OKO Pankki Oyj and others v. Republic of Estonia,ARB/04/6,Debt instruments,2004-02-20,Otto L.O. DE WITT WIJNEN,YES,Dutch,V.V. VEEDER,YES,British,L. Yves FORTIER,YES,Canadian,"Hannes Snellman Attorneys at Law, Helsinki, Finland","Freshfields Bruckhaus Deringer, Amsterdam, Netherlands, and Paris, France Law Office Aivar Pilv, Tallinn, Estonia","Award rendered on November 19, 2007.",2007
UNC455,Muhammet Çap & Sehil Inşaat Endustri ve Ticaret Ltd. Sti. v. Turkmenistan,ARB/12/6,Construction projects,2012-03-26,Julian D.M. LEW,YES,British,Bernard HANOTIAU,YES,Belgian,Laurence BOISSON DE CHAZOURNES,YES,"Swiss, French","Derains & Gharavi, Paris, France, and Washington D.C., U.S.A. Akinci Law Office, Istanbul, Turkey","Curtis, Mallet-Prevost, Colt & Mosle, Washington, D.C. and New York, NY, U.S.A., and Istanbul, Turkey Yurttutan Gürel Yörüker Law Firm, Istanbul, Turkey",,
UNC418,Garanti Koza LLP v. Turkmenistan,ARB/11/20,Construction project,2011-07-20,John M. TOWNSEND,YES,U.S.,George Constantine LAMBROU,YES,Greek,Laurence BOISSON DE CHAZOURNES,YES,"Swiss, French","Gur Law Firm, Istanbul,Turkey King & Spalding, Singapore","Curtis, Mallet-Prevost, Colt & Mosle, Istanbul, Turkey, Paris, France, and Washington, D.C., U.S.A. Yurttutan Gürel Yörüker, Istanbul, Turkey",,
UNC406,Crystallex International Corporation v. Bolivarian Republic of Venezuela,ARB(AF)/11/2,Mining company,2011-03-09,Laurent LÉVY,YES,"Swiss, Brazilian",John Y. GOTANDA,YES,U.S.,Laurence BOISSON DE CHAZOURNES,YES,"Swiss, French","Freshfields Bruckhaus Deringer US, Washington, D.C., U.S.A. Travieso Evans Arria Rengel & Paz, Caracas, Venezuela Wallis & Guerrero, Caracas Venezuela","Procuradur&iacutea General de la Rep&uacuteblica, Caracas, Venezuela Foley Hoag, Washington, D.C., U.S.A.",,
UNC568,NextEra Energy Global Holdings B.V. and NextEra Energy Spain Holdings B.V. v. Kingdom of Spain,ARB/14/11,Renewable energy generation enterprise,2014-05-23,Donald M. McRAE,YES,"Canadian, New Zealand",L. Yves FORTIER,YES,Canadian,Laurence BOISSON DE CHAZOURNES,YES,"Swiss, French","Skadden, Arps, Slate, Meagher & Flom, London, U.K.","Abogacía General del Estado, The Ministry of Justice of the Government of Spain, Madrid, Spain",,
UNC075,"Champion Trading Company and Ameritrade International, Inc. v. Arab Republic of Egypt",ARB/02/9,Cotton processing and trading enterprise,2002-08-08,Robert BRINER,YES,Swiss,L. Yves FORTIER,YES,Canadian,Laurent AYNÈS,YES,French,"Fasken Martineau DuMoulin, Montreal, Canada","Bredin Prat, Paris, France","Award rendered on October 27, 2006.",2006
UNC262,Saba Fakes v. Republic of Turkey,ARB/07/20,Mobile telecommunications services,2007-08-13,Emmanuel GAILLARD,YES,French,Hans VAN HOUTTE,YES,Belgian,Laurent LÉVY,YES,"Swiss, Brazilian","Houthoff Buruma, Rotterdam, Netherlands","Derains & Gharavi, Paris, France","Award rendered on July 14, 2010.",2010
,Société Civile Immobilière de Gaëta v. Republic of Guinea,ARB/12/36,Development and operation of commercial property,2012-11-28,Pierre TERCIER,YES,Swiss,Horacio A. GRIGERA NAÓN,YES,Argentine,Laurent LÉVY,YES,"Swiss, Brazilian","Derains & Gharavi, Paris, France SCP Akl & Akl, Beirut, Lebanon","Orrick Rambaud Martel, Paris, France Cabinet Mamadou S. Traore, Ouagadougou, Burkina Faso",,
UNC261,Europe Cement Investment and Trade S.A. v. Republic of Turkey,ARB(AF)/07/2,Electricity concessions,2007-03-06,Donald M. McRAE,YES,"Canadian, New Zealand",Julian D.M. LEW,YES,British,Laurent LÉVY,YES,"Swiss, Brazilian","Teissonnière Sardain Chevé, Paris, France","Freshfields Bruckhaus Deringer, New York, NY, U.S.A, and Paris, France Coşar Avukatlik Bürosu, Istanbul, Turkey","Award rendered on August 13, 2009.",2009
UNC094,IBM World Trade Corp. v. Republic of Ecuador,ARB/02/10,Informatic services contract,2002-09-06,Rodrigo JIJÓN LETORT,YES,Ecuadoran,Alejandro PONCE MARTÍNEZ,YES,Ecuadoran,León ROLDÓS AGUILERA,YES,Ecuadoran,"Agent, IBM World Trade Corporation, Quito, Ecuador","Procurador General del Estado, Quito, Ecuador","Settlement agreed by the parties and settlement recorded at their request in the form of an award (Award embodying the parties' settlement agreement rendered on July 22, 2004, pursuant to ICSID Arbitration Rule 43(2)).",2004
UNC579,"Albaniabeg Ambient Sh.p.k, M. Angelo Novelli and Costruzioni S.r.l. v. Republic of Albania",ARB/14/26,Waste management and renewable energy production project,2014-11-07,David D. CARON,YES,U.S.,John M. TOWNSEND,YES,U.S.,Leonard HOFFMANN,YES,British,"Quinn Emanuel Urquhart & Sullivan, Paris, France, and New York, NY, U.S.A. Scemla Loizon Veverka & de Fontmichel, Paris, France Andrea Di Porto, Rome, Italy","State Advocate General of the Republic of Albania, Tirana, Albania Wragge Lawrence Graham & Co, London, U.K.",,
UNC465,Tethyan Copper Company Pty Limited v. Islamic Republic of Pakistan,ARB/12/1,Mineral exploration operations,2012-01-12,Klaus SACHS,YES,German,Stanimir A. ALEXANDROV,YES,Bulgarian,Leonard HOFFMANN,YES,British,"Debevoise & Plimpton, New York, NY, U.S.A. and London, U.K. Fazle Ghani Advocates, Karachi, Pakistan","Allen & Overy, London, U.K. ABS & Co., Islamabad, Pakistan",,
,African Petroleum Gambia Limited (Block A1) v. Republic of The Gambia,ARB/14/6,"Petroleum exploration, development, and production activities",2014-03-12,Jan PAULSSON,YES,"Bahraini, Swedish, French",Alexis MOURRE,YES,French,Loretta MALINTOPPI,YES,Italian,"Clyde & Co., London, U.K. Klaus Reichert, London, U.K.","Mayer Brown, Paris, France Farage Andrews Law Practice, Fajara Kanifing Municipality, Gambia","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) issued on January 27, 2015.",2015
,African Petroleum Gambia Limited (Block A4) v. Republic of The Gambia,ARB/14/7,"Petroleum exploration, development, and production activities",2014-03-12,Jan PAULSSON,YES,"Bahraini, Swedish, French",Alexis MOURRE,YES,French,Loretta MALINTOPPI,YES,Italian,"Clyde & Co., London, U.K. Klaus Reichert, London, U.K.","Mayer Brown, Paris, France Farage Andrews Law Practice, Fajara Kanifing Municipality, Gambia","Order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1) issued on January 27, 2015.",2015
UNC427,Longreef Investments A.V.V. v. Bolivarian Republic of Venezuela,ARB/11/5,Coffee production facilities,2011-02-23,David A.O. EDWARD,YES,British,Enrique GÓMEZ-PINZÓN,YES,Colombian,Loretta MALINTOPPI,YES,Italian,"Baker & McKenzie, New York, NY, U.S.A.","Procuradur&iacutea General de la Rep&uacuteblica, Caracas, Venezuela Hogan Lovells, Caracas, Venezuela, Madrid, Spain and Paris, France",,
UNC470,Blue Bank International & Trust (Barbados) Ltd. v. Bolivarian Republic of Venezuela,ARB/12/20,Tourism and hospitality facilities,2012-08-07,Christer SÖDERLUND,YES,Swedish,George BERMANN,YES,U.S.,Loretta MALINTOPPI,YES,Italian,"DLA Piper, Miami, FL, U.S.A.","Procuradur&iacutea General de la Rep&uacuteblica, Caracas, Venezuela Guglielmino & Asociados, Buenos Aires, Argentina",,
UNC155,Total S.A. v. Argentine Republic,ARB/04/1,Gas production and distribution/power generation project,2004-01-22,Giorgio SACERDOTI,YES,Italian,Henri C. ÁLVAREZ,YES,Canadian,Luis HERRERA MARCANO,YES,Venezuelan,"Freshfields Bruckhaus Deringer, Paris, France and New York, NY, U.S.A. Abeledo Gottheil Abogados SC, Buenos Aires, Argentina","Procuradora del Tesoro de la Nación, Buenos Aires, Argentina","Award rendered on November 27, 2013.",2013
UNC014,"Lanco International, Inc. v. Argentine Republic",ARB/97/6,Port terminal concession agreement,1997-10-14,Bernardo M. CREMADES,YES,Spanish,Guillermo AGUILAR-ALVAREZ,YES,Mexican,Luiz Olavo BAPTISTA,YES,Brazilian,"Powell, Goldstein, Frazer & Murphy, Washington, D.C., U.S.A.","Secretariat of International Economic Relations of the Ministry of Foreign Affairs, International Trade and Worship, Buenos Aires, Argentina","Proceeding discontinued at the request of the Claimant (Order taking note of the discontinuance issued by the Tribunal on October 17, 2000 pursuant to Arbitration Rule 44).",2000
UNC593,Elektrogospodarstvo Slovenije - razvoj in inzeniring d.o.o. v. Bosnia and Herzegovina,ARB/14/13,Thermal power plant project,2014-06-16,Christopher GREENWOOD,YES,British,Jan PAULSSON,YES,"Bahraini, Swedish, French",Maja STANIVUKOVIĆ,YES,Serbian,"Rojs, Pelijhan, Prelesnik & partners, Ljublana, Slovenia","Presidency of Bosnia and Herzegovina, Bosnia and Herzegovina",,
UNC582,Michael Dagher v. Republic of the Sudan,ARB/14/2,Wireless internet service enterprise,2014-02-21,Yas BANIFATEMI,YES,"Iranian, French",William W. PARK,YES,"Swiss, U.S.",Makhdoom Ali KHAN,YES,Pakistani,"Winston & Strawn, Geneva, Switzerland","Derains & Gharavi, Paris, France Matrix Chambers, London, U.K.",,
,Newmont USA Limited and Newmont (Uzbekistan) Limited v. Republic of Uzbekistan,ARB/06/20,Gold extraction enterprise,2006-12-12,V.V. VEEDER,YES,British,Christopher GREENWOOD,YES,British,Marc LALONDE,YES,Canadian,"Covington & Burling, Washington, D.C., U.S.A.","Debevoise & Plimpton, New York, NY, U.S.A, and Paris, France","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on July 25, 2007 pursuant to Arbitration Rule 43(1)).",2007
UNC228,The Rompetrol Group N.V. v. Romania,ARB/06/3,Oil refinery,2006-02-14,Franklin BERMAN,YES,British,Donald DONOVAN,YES,U.S.,Marc LALONDE,YES,Canadian,"Dentons, Paris, France","Lalive, Geneva, Switzerland Tanasescu & Asociatii, Bucharest, Romania Leaua & Asociatii, Bucharest, Romania","Award rendered on May 6, 2013.",2013
,Togo Electricité and GDF-Suez Energie Services v. Republic of Togo,ARB/06/7,Electricity concession,2006-04-10,Ahmed Sadek EL-KOSHERI,YES,Egyptian,Marc GRÜNINGER,YES,Swiss,Marc LALONDE,YES,Canadian,"Cabinet Jeantet Associ&eacutes, Paris, France Ibrahim Fadlallah, Paris, France","Eric Sossah, Paris, France","The Tribunal renders its award on August 10, 2010.",2010
UNC186,Rumeli Telekom A.S. and Telsim Mobil Telekomunikasyon Hizmetleri A.S. v. Republic of Kazakhstan,ARB/05/16,Telecommunications enterprise,2005-08-30,Bernard HANOTIAU,YES,Belgian,Stewart BOYD,YES,British,Marc LALONDE,YES,Canadian,"Derains Gharavi & Lazareff, Paris, France","Language(s) of Proceeding;English;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on July 29, 2008.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Respondent(s);Respondent(s) on Annulment;Date Registered;November 7, 2008 (Respondent(s));Date of Constitution of ad hoc Committee;December 12, 2008;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Stephen M. SCHWEBEL (U.S.);Members;Campbell Alan McLACHLAN (New Zealand) Eduardo SILVA ROMERO (Colombian, French);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Derains Gharavi & Lazareff, Paris, France","Award rendered on July 29, 2008.",2008
UNC030,Patrick Mitchell v. Democratic Republic of the Congo,ARB/99/7,Law firm,1999-12-10,Andreas BUCHER,YES,Swiss,Yawovi AGBOYIBO,YES,Togolese,Marc LALONDE,YES,Canadian,"Fluxman Rabinowitz-Raphaely Weiner, Johannesburg, South Africa","Ministre de la Justice et des Affaires Parlementaires, Ministère de la Justice et des Affaires Parlementaires, Kinshasa/Gombe, Democratic Republic of the Congo Mbombo & Associés, Kinshasa/Gombe, Democratic Republic of the Congo","Award rendered on February 9, 2004, attached to the award is a dissenting opinion by arbitrator Yawovi Agboyibo.",2004
,Compagnie Française pour le Développement des Fibres Textiles v. Côte d'Ivoire,ARB/97/8,Textile industry enterprise,1997-11-04,Pierre DRAI,YES,French,Matthieu DE BOISSÉSON,YES,French,Marcel STORME,YES,Belgian,"Thieffry & Associés, Paris, France","Klein-Goddard & Associés, Paris, France Karim Fadika, Abidjan, Côte d’Ivoire","Award embodying the parties' settlement agreement rendered on April 4, 2000.",2000
UNC529,"Fouad Alghanim & Sons Co. for General Trading & Contracting, W.L.L. and Mr. Fouad Mohammed Thunyan Alghanim v. Hashemite Kingdom of Jordan",ARB/13/38,Telecommunications enterprise,2013-12-24,Campbell Alan McLACHLAN,YES,New Zealand,L. Yves FORTIER,YES,Canadian,Marcelo G. KOHEN,YES,Argentine,"Mayer Brown International, London, U.K. Mayer Brown International, Paris, France International Business Legal Associates, Jordan","Council of Ministers, Amman, Jordan Prime Minister, Amman, Jordan Minister of Finance, Amman, Jordan",,
,Antoine Abou Lahoud and Leila Bounafeh-Abou Lahoud v. Democratic Republic of the Congo,ARB/10/4,Trading company,2010-03-04,William W. PARK,YES,"Swiss, U.S.",Karim HAFEZ,YES,Egyptian,Marie-Andrée NGWE,YES,French,"Emery Mukendi Wafwana & Associ&eacutes, Kinshasa, Democratic Republic of the Congo","Language(s) of Proceeding;French;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on February 7, 2014.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Respondent(s);Respondent(s) on Annulment;Date Registered;June 19, 2014 (Respondent(s));Date of Constitution of ad hoc Committee;July 18, 2014;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Azzedine KETTANI (Moroccan);Members;Kaj HOBÉR (Swedish) Rolf KNIEPER (German);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Emery Mukendi Wafwana & Associ&eacutes, Kinshasa, Democratic Republic of the Congo","Award rendered on February 7, 2014.",2014
,M. Meerapfel Söhne AG v. Central African Republic,ARB/07/10,Tobacco industry,2007-04-25,Azzedine KETTANI,YES,Moroccan,François TKINT,YES,Belgian,Marie-Madeleine MBORANTSUO,YES,Gabonese,"Cabinet Caluw&eacute & Horsmans, Brussels, Belgium","Cabinet Bizon Ing&eacutenierie Juridique, Bangui, Central African Republic Ma&icirctres Jacques Verg&egraves and Corinne Blanc, Bangui, Central African Republic","Award rendered on May 12, 2011.",2011
,Société d'Etudes de Travaux et de Gestion SETIMEG S.A. v. Republic of Gabon,ARB/87/1,Restructuring of an administrative and residential complex,1987-02-24,Claude REYMOND,YES,Swiss,Henri CAILLAVET,YES,French,Marie-Madeleine MBORANTSUO,YES,Gabonese,"President Directeur General, Head of Litigation, Société d'Etudes de Travaux et de Gestion SETIMEG S.A., Paris, France","Velimir Vujicic, Jacques Trinquet, Peter Wolrich and Geoffroy Lionnet","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on January 21, 1993 pursuant to Arbitration Rule 43(1)).",1993
UNC513,"Utsch M.O.V.E.R.S. International GmbH, Erich Utsch Aktiengesellschaft, and Helmut Jungbluth v. Arab Republic of Egypt",ARB/13/37,License plate supply and manufacturing project,2013-12-24,Hans VAN HOUTTE,YES,Belgian,Arif Hyder ALI,YES,"Pakistani, U.S.",Mark A. CLODFELTER,YES,U.S.,"Amereller Legal Consultants (through Mena Associates), Cairo, Egypt","Egyptian State Lawsuits Authority, Cairo, Egypt",,
UNC569,"Unión Fenosa Gas, S.A. v. Arab Republic of Egypt",ARB/14/4,Natural gas liquefaction operations,2014-02-27,V.V. VEEDER,YES,British,J. William ROWLEY,YES,"British, Canadian",Mark A. CLODFELTER,YES,U.S.,"King & Spalding, Houston, TX and New York, NY, U.S.A., and Paris, France","The Egyptian State Lawsuits Authority, Cairo, Egypt Cleary Gottlieb Steen & Hamilton, Paris, France",,
UNC570,Alpiq AG v. Romania,ARB/14/28,Electricity generation and distribution operations,2014-11-17,Eduardo SILVA ROMERO,YES,"Colombian, French",Klaus SACHS,YES,German,Mark A. CLODFELTER,YES,U.S.,"Homburger AG, Zurich, Switzerland","Ministry of Economy, Bucharest, Romania",,
UNC351,Adem Dogan v. Turkmenistan,ARB/09/9,Poultry farm,2009-05-22,Jan PAULSSON,YES,"Bahraini, Swedish, French",Philippe SANDS,YES,"British, French",Markus WIRTH,YES,Swiss,"Gleiss Lutz Rechtsanw&aumllte, Stuttgart, Germany Alexander Lorz, D&uumlsseldorf, Germany","Language(s) of Proceeding;English;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on August 12, 2014.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Respondent(s);Respondent(s) on Annulment;Date Registered;August 28, 2014 (Respondent(s));Date of Constitution of ad hoc Committee;September 30, 2014;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Piero BERNARDINI (Italian);Members;Makhdoom Ali KHAN (Pakistani) Jacomijn J. VAN HAERSOLTE-VAN HOF (Dutch);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Gleiss Lutz Rechtsanw&aumllte, Stuttgart, Germany Alexander Lorz, D&uumlsseldorf, Germany","Award rendered on August 12, 2014.",2014
,International Trust Company of Liberia v. Republic of Liberia,ARB/98/3,Maritime registry,1998-05-28,Albert Jan VAN DEN BERG,YES,Dutch,Ian FORRESTER,YES,British,Maureen PONSONBY,YES,British,"Satterlee Stephens Burke & Burke, New York, NY, U.S.A. Ridberg, Press & Sherbill, Bethesda, MD, U.S.A.","Swidler Berlin Shereff Friedman, Washington, D.C., U.S.A. Bureau of Maritime Affairs, Monrovia, Liberia Minister of Finance, Ministry of Finance, Monrovia, Liberia","The Tribunal issues an order for the discontinuance of the proceeding on July 24, 2002 for lack of payment of advances, pursuant to Regulation 14(3)(d) of the Administrative and Financial Regulations.",2002
UNC019,Emilio Agustín Maffezini v. Kingdom of Spain,ARB/97/7,Chemical products enterprise,1997-10-30,Francisco ORREGO VICUÑA,YES,Chilean,Thomas BUERGENTHAL,YES,U.S.,Maurice WOLF,YES,U.S.,"Estudio Vinuesa y Asociados, Buenos Aires, Argentina","Abogado del Estado, Subdirección General de los Servicios Contenciosos del Ministerio de Justicia, Madrid, Spain","Award rendered on November 13, 2000.",2000
UNC382,Standard Chartered Bank v. United Republic of Tanzania,ARB/10/12,Power purchase agreement,2010-06-11,William W. PARK,YES,"Swiss, U.S.",Barton LEGUM,YES,U.S.,Michael C. PRYLES,YES,Australian,"Herbert Smith Freehills, London, U.K.","Mkono & Co. Advocates, Dar es Salaam, Tanzania Hunton & Williams, Washington, D.C., U.S.A.","Award rendered on November 2, 2012.",2012
UNC207,Waguih Elie George Siag and Clorinda Vecchi v. Arab Republic of Egypt,ARB/05/15,Resort development,2005-08-05,David A.R. WILLIAMS,YES,New Zealand,Francisco ORREGO VICUÑA,YES,Chilean,Michael C. PRYLES,YES,Australian,"King & Spalding, Houston, TX, U.S.A., and London, U.K.","Language(s) of Proceeding;English;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on June 1, 2009, attached to the award is a dissenting opinion by one of the arbitrators.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Respondent(s);Respondent(s) on Annulment;Date Registered;July 10, 2009 (Respondent(s));Date of Constitution of ad hoc Committee;August 7, 2009;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Stephen M. SCHWEBEL (U.S.);Members;Azzedine KETTANI (Moroccan) Peter TOMKA (Slovak);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): King & Spalding, Houston, TX, U.S.A., and London, U.K.","Award rendered on June 1, 2009, attached to the award is a dissenting opinion by one of the arbitrators.",2009
UNC165,Western NIS Enterprise Fund v. Ukraine,ARB/04/2,Sunflower oil joint venture,2004-01-26,Rodrigo OREAMUNO,YES,Costa Rican,Jan PAULSSON,YES,French,Michael C. PRYLES,YES,Australian,"Kevin Block, Napa, CA, U.S.A.","Ministry of Justice, Kiev, Ukraine Grischenko & Partners, Kiev, Ukraine","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on June 1, 2006 pursuant to Arbitration Rule 43(1)).",2006
,Government of the Province of East Kalimantan v. PT Kaltim Prima Coal and others,ARB/07/3,Coal mining contract,2007-01-18,Gabrielle KAUFMANN-KOHLER,YES,Swiss,Albert Jan VAN DEN BERG,YES,Dutch,Michael HWANG,YES,Singaporean,"DNC Advocates At Work, Jakarta, Indonesia","Baker Botts, London, U.K. Herbert Smith, London, U.K.","Award rendered on December 28, 2009.",2009
UNC024,"The Loewen Group, Inc. and Raymond L. Loewen v. United States of America",ARB(AF)/98/3,Funeral home and insurance enterprises,1998-11-19,Anthony MASON,YES,Australian,Abner J. MIKVA,YES,U.S.,Michael MUSTILL,YES,British,"Jones, Day, Reavis & Pogue, Washington, D.C., U.S.A. Montgomery, McCracken, Walker & Rhoads, Philadelphia, PA, U.S.A. Fasken Martineau DuMoulin, Vancouver, British Columbia, Canada","U.S. Department of Justice, Civil Division, Washington, D.C., U.S.A. Executive Director, Office of the Legal Advisor, Department of State, Washington, D.C., U.S.A.","Award rendered on June 26, 2003.",2003
UNC062,"F-W Oil Interests, Inc. v. Republic of Trinidad & Tobago",ARB/01/14,Oil and gas development contract,2001-11-29,Fali S. NARIMAN,YES,Indian,Franklin BERMAN,YES,British,Michael MUSTILL,YES,British,"Vinson & Elkins, London, U.K., and Houston, TX, U.S.A.","James Dingemans, London, U.K. Charles Russell Solicitors, London, U.K.","Award rendered on March 3, 2006.",2006
,Compagnie d'Exploitation du Chemin de Fer Transgabonais v. Gabonese Republic,ARB/04/5,Railway concession agreement,2004-02-10,Ibrahim FADLALLAH,YES,"French, Lebanese",Charles JARROSSON,YES,French,Michel GENTOT,YES,French,"Reed Smith Richards Butler, Paris, France","Language(s) of Proceeding;French;Status of Proceeding;Concluded;Outcome of Proceeding;Award rendered on March 7, 2008.;(b) Annulment Proceeding;Applicant(s)/Requesting Party(ies);Respondent(s);Respondent(s) on Annulment;Date Registered;July 10, 2008 (Respondent(s));Date of Constitution of ad hoc Committee;October 21, 2008;Composition of ad hoc Committee (Appointed by the Chairman of the Administrative Council);President;Franklin BERMAN (British);Members;Ahmed Sadek EL-KOSHERI (Egyptian) Rolf KNIEPER (German);Initial Composition of ad hoc Committee;President;Members;Reconstituted;Party Representatives;Claimant(s): Reed Smith Richards Butler, Paris, France","Award rendered on March 7, 2008.",2008
UNC117,Continental Casualty Company v. Argentine Republic,ARB/03/9,Insurance company,2003-05-22,Giorgio SACERDOTI,YES,Italian,V.V. VEEDER,YES,British,Michell NADER,YES,Mexican,"Appleton & Associates International Lawyers, Toronto, Canada","Procurador del Tesoro de la Nación, Buenos Aires, Argentina","Award rendered on September 5, 2008.",2008
UNC286,ALAS International Baustoffproduktions AG v. Bosnia and Herzegovina,ARB/07/11,Cement manufacturing enterprise,2007-05-09,Prosper WEIL,YES,French,Stephen M. SCHWEBEL,YES,U.S.,Mirko VASILJEVIĆ,YES,Serbian,"DLA Piper, New York, NY, U.S.A., and Vienna, Austria","Attorney General, Sarajevo, Bosnia and Herzegovina","Settlement agreed by the parties and proceeding discontinued at their request (Order taking note of the discontinuance issued by the Tribunal on December 27, 2007 pursuant to ICSID Arbitration Rule 43(1)).",2007
UNC217,Bernardus Henricus Funnekotter and others v. Republic of Zimbabwe,ARB/05/6,Commercial farms,2005-04-15,Gilbert GUILLAUME,YES,French,Ronald A. CASS,YES,U.S.,Mohammad WASI ZAFAR,YES,Pakistani,"Wiley Rein, Washington, D.C. Steptoe & Johnson, London, U.K.","Attorney General's Office, Harare, Zimbabwe Kimbrough & Associés, Paris, France","Award rendered on April 22, 2009.",2009
